num_impls= 4

#Impl    Colums   Rows  Conf_t    Exec_t   Conf_PWR   Exec_PWR

TASK1    1         1       5        20       5          5
TASK1    1         1       10       10       10         15 
TASK1    2         1       20       5        20         25 

TASK2    1         1       5        30       5          5
TASK2    2         1       10       20       10         15 
TASK2    2         1       20       10       20         20 
TASK2    3         1       30       5        30         40 

TASK3    2         1       20       125      20         20 
TASK3    3         1       30       75       30         35 
TASK3    4         1       20       20       20         15 
TASK3    5         1       75       30       75         70 
TASK3    5         1       125      20       125        100  

TASK4    3         1       75       50       75         80 
TASK4    5         1       125      40      125         110
