#TYPE    RECONFIGURATION    LATENCY    POWER    COLUMNS    ROWS    


TASK1    20                 30         200      1          1
TASK1    20                 20         300      1          3
TASK1    20                 15         350      1          4
TASK1    20                 11         400      1          5


TASK2    20                 45         300      1          1
TASK2    20                 30         450      1          3
TASK2    20                 23         525      1          4
TASK2    20                 48         600      1          5


TASK3    20                 120        800      1          1
TASK3    20                 80         1200     1          3


TASK4    20                 150        1000     1          3
TASK4    20                 100        1500     1          4
TASK4    20                 75         1750     1          5
